Formulation Index,Time,Release,Drug Group
1,0.0,0.0,8
1,1.88976377952756,0.0626223091976516,8
1,7.18110236220472,0.0567514677103717,8
1,13.9842519685039,0.0587084148727985,8
1,27.9685039370078,0.0587084148727985,8
1,48.755905511811,0.0489236790606653,8
1,62.7401574803149,0.0450097847358121,8
1,69.5433070866141,0.0450097847358121,8
1,76.7244094488189,0.0469667318982387,8
1,107.71653543307,0.0821917808219178,8
1,143.622047244094,0.0998043052837572,8
1,164.031496062992,0.217221135029354,8
1,179.905511811023,0.598825831702544,8
1,193.889763779527,0.818003913894324,8
1,219.968503937007,0.917808219178082,8
1,237.732283464566,0.917808219178082,8
2,0.0,0.0,65
2,0.991911348769296,0.575135495786455,65
2,2.00354875672644,0.698655436995063,65
2,3.04961007189375,0.77915999864625,65
2,5.03217571664096,0.894484922618731,65
2,7.01242064854254,0.945294029482722,65
2,9.99830781355006,0.952957216691727,65
2,14.0280322772478,0.979297307489617,65
2,18.0212055136269,0.989513278828813,65
2,20.0356809600015,0.99193068804301,65
3,0.0,0.0,65
3,1.0135713353285,0.177283122132348,65
3,2.02230785222861,0.220158291955345,65
3,2.9982643001842,0.351747545120943,65
3,5.01805804683005,0.502013701875426,65
3,7.03630465157881,0.609269313890916,65
3,10.0301209188088,0.837361542887257,65
3,13.9903206935063,0.930915279476679,65
3,18.0199484608355,0.954567211228382,65
3,20.0350040854215,0.973113574719701,65
4,0.0,0.0,65
4,0.97440930605851,0.0885787084266049,65
4,1.98275903748434,0.120701242064854,65
4,2.99420305270435,0.238844865181088,65
4,4.97773566113724,0.381051379615438,65
4,6.99743271141452,0.528629377323734,65
4,10.0323449352859,0.899189200949558,65
4,13.9921579245091,0.981990301354232,65
4,18.0566930808913,0.97606764877945,65
4,20.0357776563701,0.994618847089197,65
5,0.0,0.0,65
5,1.00941339148008,0.0616922831463062,65
5,1.98179207379866,0.0938196516029843,65
5,2.9928493035444,0.201210638534469,65
5,5.01215956834741,0.338036000058017,65
5,6.99656244409741,0.504435945908051,65
5,10.0664787533904,0.848109344253576,65
5,14.0629396663008,0.949722723163131,65
5,18.0195616753612,0.943814575043634,65
5,20.0350040854215,0.973113574719701,65
6,0.0,0.0,65
6,1.05219746745273,0.148541114058355,65
6,2.10959687321329,0.19893899204244,65
6,3.06042684012709,0.259946949602121,65
6,5.06893739865593,0.36604774535809,65
6,7.08054100158401,0.413793103448275,65
6,10.0933068393772,0.572944297082228,65
6,14.002493181243,0.819628647214854,65
6,18.0280904668622,0.870026525198939,65
6,20.9401917687527,0.928381962864721,65
6,23.9590031024172,0.973474801061008,65
6,27.88056162188,0.986737400530504,65
6,29.9469964664311,1.0,65
7,0.0,0.0,65
7,1.05768059161503,0.0450928381962865,65
7,2.06418535771527,0.0557029177718833,65
7,3.06998715917931,0.079575596816976,65
7,5.02788426390229,0.140583554376657,65
7,7.03990964561209,0.180371352785145,65
7,10.1089126543007,0.278514588859416,65
7,14.0218950052019,0.453580901856764,65
7,17.9828195442914,0.724137931034482,65
7,20.9434254060792,0.867374005305039,65
7,24.0165056096578,0.888594164456233,65
7,27.9888181758536,0.944297082228116,65
7,29.9469964664311,1.0,65
8,0.0,0.0,65
8,1.05880533503294,0.0238726790450927,65
8,2.11817304177484,0.0371352785145888,65
8,3.07097130966998,0.0610079575596815,65
8,5.08426202772492,0.0769230769230768,65
8,7.04412743342925,0.100795755968169,65
8,10.061954616603,0.16445623342175,65
8,14.0234415274015,0.424403183023872,65
8,18.0341359627335,0.755968169761273,65
8,20.9930547093944,0.93103448275862,65
8,23.9597060670534,0.960212201591512,65
8,27.9331433766672,0.994694960212201,65
8,29.9469964664311,1.0,65
9,0.0,0.0,65
9,1.11223064738356,0.0159151193633952,65
9,2.11873541348379,0.026525198938992,65
9,3.07237723894236,0.0344827586206895,65
9,5.03294560928288,0.0450928381962865,65
9,7.09909926797949,0.0636604774535809,65
9,10.061954616603,0.16445623342175,65
9,13.9697350291964,0.437665782493368,65
9,17.9811324291646,0.755968169761273,65
9,20.9933358952488,0.925729442970822,65
9,23.9057183829938,0.978779840848806,65
9,27.9334245625216,0.989389920424403,65
9,29.9469964664311,1.0,65
10,0.0,0.0,65
10,1.06943425125243,0.0614250614250615,65
10,2.04050863141772,0.152334152334152,65
10,3.04133826861099,0.326781326781327,65
10,5.01818820000638,0.439803439803439,65
10,6.98682153227607,0.805896805896806,65
10,10.0012763649127,0.96068796068796,65
10,12.9554229554229,0.972972972972973,65
10,15.0007179552634,0.977886977886978,65
10,17.9547050001595,0.995085995085995,65
10,19.9676122403395,0.997542997542997,65
11,0.0,0.0,65
