Formulation Index,t0.0000,t0.0204,t0.0408,t0.0612,t0.0816,t0.1020,t0.1224,t0.1429,t0.1633,t0.1837,t0.2041,t0.2245,t0.2449,t0.2653,t0.2857,t0.3061,t0.3265,t0.3469,t0.3673,t0.3878,t0.4082,t0.4286,t0.4490,t0.4694,t0.4898,t0.5102,t0.5306,t0.5510,t0.5714,t0.5918,t0.6122,t0.6327,t0.6531,t0.6735,t0.6939,t0.7143,t0.7347,t0.7551,t0.7755,t0.7959,t0.8163,t0.8367,t0.8571,t0.8776,t0.8980,t0.9184,t0.9388,t0.9592,t0.9796,t1.0000
1,0.0,0.059336007257250044,0.057477002542699995,0.0587084148727985,0.0587084148727985,0.0587084148727985,0.058171071310573766,0.055887361171118574,0.05360365103166338,0.05131994089220819,0.049036230752753,0.04763271998385221,0.04627483827931131,0.0450097847358121,0.0450097847358121,0.045890516058107136,0.04799244885295974,0.05350677333603458,0.05902109781910941,0.06453542230218424,0.07004974678525908,0.07556407126833391,0.08107839575140874,0.08409113362102505,0.08647099997687828,0.08885086633273152,0.09123073268858475,0.09361059904443798,0.09599046540029123,0.09837033175614447,0.11089811005941737,0.13881012287498007,0.16672213569054276,0.19463414850610544,0.23947213775081067,0.3561044770158459,0.47273681628088177,0.5893691555459176,0.668701690228107,0.7447430656823969,0.8186828547465936,0.8372504110978165,0.8558179674490393,0.8743855238002621,0.8929530801514848,0.9115206365027076,0.917808219178082,0.917808219178082,0.917808219178082,0.917808219178082
2,0.0,0.2370856892140825,0.474171378428165,0.6037998286801163,0.6537250758492803,0.7018037415272467,0.7332719034026719,0.7647400652780971,0.7920458023321281,0.8158308282138019,0.8396158540954758,0.8634008799771496,0.8871859058588235,0.9017567336630816,0.9122480668061745,0.9227393999492676,0.9332307330923605,0.9437220662354535,0.9461861993848545,0.9472356066605739,0.9482850139362935,0.9493344212120131,0.9503838284877326,0.9514332357634522,0.9524826430391716,0.9544212401495425,0.9570939384861478,0.9597666368227529,0.962439335159358,0.9651120334959631,0.9677847318325682,0.9704574301691734,0.9731301285057785,0.9758028268423836,0.9784755251789887,0.9800217539821247,0.9810678451652526,0.9821139363483805,0.9831600275315084,0.9842061187146364,0.9852522098977643,0.9862983010808922,0.9873443922640202,0.9883904834471481,0.989436574630276,0.9899679776884605,0.9904586552770979,0.9909493328657353,0.9914400104543726,0.99193068804301
3,0.0,0.07151652880197301,0.14303305760394602,0.1863390557202867,0.2037179229644722,0.2231354051165567,0.2782648144862475,0.3333942238559383,0.37203977167826124,0.4024589522533253,0.4328781328283893,0.4632973134034533,0.49371649397851736,0.5178158267986638,0.5395447972889108,0.5612737677791577,0.5830027382694047,0.6047317087596519,0.6339155111955443,0.665066992345891,0.6962184734962376,0.7273699546465842,0.7585214357969308,0.7896729169472775,0.8208243980976241,0.8418929991933093,0.851552115571736,0.8612112319501629,0.8708703483285897,0.8805294647070165,0.8901885810854433,0.89984769746387,0.9095068138422969,0.9191659302207238,0.9288250465991506,0.9327958493045189,0.9351957597830864,0.9375956702616541,0.9399955807402217,0.9423954912187893,0.944795401697357,0.9471953121759246,0.9495952226544923,0.9519951331330598,0.9543950436116274,0.958060504941454,0.9618237723860158,0.9655870398305775,0.9693503072751393,0.973113574719701
4,0.0,0.03717046926850561,0.07434093853701122,0.09661518833192112,0.10964111800604448,0.12790916943607372,0.1756707356368639,0.223432301837654,0.2586999894369879,0.28801501456325485,0.31733003968952184,0.34664506481578883,0.3759600899420558,0.4057399731782941,0.43561755923577933,0.4654951452932645,0.4953727313507498,0.525250317408235,0.5729084515943985,0.6228339397132029,0.6727594278320072,0.7226849159508116,0.7726104040696159,0.8225358921884203,0.8724613803072246,0.903161972162223,0.9117120792873384,0.9202621864124539,0.9288122935375694,0.937362400662685,0.9459125077878004,0.954462614912916,0.9630127220380315,0.971562829163147,0.9801129362882625,0.9815253063599415,0.980929485784444,0.9803336652089466,0.9797378446334492,0.9791420240579516,0.9785462034824541,0.9779503829069567,0.9773545623314592,0.9767587417559618,0.9761629211804643,0.9792875913260644,0.9831204052668475,0.9869532192076307,0.9907860331484138,0.994618847089197
5,0.0,0.024989360163317903,0.049978720326635806,0.06886921062893488,0.0823785179109747,0.1004683917179593,0.14389795376468736,0.18732751581141538,0.22005913045859082,0.24776405085656258,0.2754689712545343,0.3031738916525061,0.3308788120504778,0.3634646722036161,0.3977506617344111,0.43203665126520596,0.4663226407960009,0.5006086303267958,0.5450996597334202,0.5908730137805986,0.636646367827777,0.6824197218749554,0.7281930759221337,0.7739664299693121,0.8197397840164904,0.8520620990233557,0.8624581566595864,0.872854214295817,0.8832502719320477,0.8936463295682784,0.904042387204509,0.9144384448407397,0.9248345024769704,0.935230560113201,0.9456266177494318,0.9493527342207186,0.9487421857222188,0.948131637223719,0.9475210887252191,0.9469105402267193,0.9462999917282194,0.9456894432297196,0.9450788947312198,0.9444683462327199,0.9438577977342201,0.949337741447697,0.955281699765698,0.961225658083699,0.9671696164017,0.973113574719701
6,0.0,0.08627930060319193,0.15664981588965857,0.18577913814109615,0.220437132416178,0.2596511027891854,0.2919884459453663,0.3242735145297091,0.35655858311405186,0.3762901302539464,0.39079607241274994,0.40530201457155346,0.4271800278280146,0.459465096412358,0.49175016499670143,0.5240352335810449,0.5563203021653883,0.591652507073684,0.6302192015090553,0.6687858959444266,0.7073525903797979,0.7459192848151692,0.7844859792505405,0.8203079506520593,0.82795931909592,0.8356106875397807,0.8432620559836413,0.8509134244275021,0.8585647928713627,0.8662161613152234,0.8761745802941472,0.8884216458755576,0.900668711456968,0.9129157770383783,0.9251628426197888,0.9351115073451143,0.9442406247148641,0.953369742084614,0.9624988594543639,0.9716279768241136,0.9751235954891765,0.9771905320404434,0.9792574685917104,0.9813244051429773,0.9833913416942442,0.9854582782455111,0.9882324681131127,0.9921549787420751,0.9960774893710376,1.0
7,0.0,0.02605614889848024,0.046828453409580154,0.053271036030000815,0.0647333017635346,0.07923924392233822,0.09817783209794022,0.117221640918323,0.1362654497387058,0.1499289115408577,0.16201466261859293,0.17410041369632814,0.1897746958969573,0.2093190017772647,0.22886330765757215,0.24840761353787955,0.267951919418187,0.29108030104827337,0.31842366150254425,0.3457670219568152,0.3731103824110861,0.400453742865357,0.4277971033196279,0.4559619609743616,0.49770840079190304,0.5394548406094445,0.5812012804269857,0.6229477202445273,0.6646941600620687,0.7064405998796102,0.7411716134834616,0.770740093929111,0.8003085743747604,0.82987705482041,0.8594455352660594,0.8704625962380556,0.8746827855490256,0.8789029748599957,0.8831231641709658,0.8873433534819358,0.8946242757030606,0.9031944907927065,0.9117647058823526,0.9203349209719986,0.9289051360616446,0.9374753511512907,0.9478440141133998,0.9652293427422666,0.9826146713711332,1.0
8,0.0,0.01377977827699928,0.02591985699389239,0.03357122543775306,0.04531533729029459,0.06062823535788802,0.0657194162581232,0.0705506783719073,0.0753819404856914,0.08199279711884733,0.0894372383099577,0.09688167950106806,0.10690968211183786,0.11980205079935519,0.13269441948687252,0.14558678817438986,0.1584791568619072,0.18596727827661363,0.2260709088973323,0.2661745395180511,0.3062781701387698,0.3463818007594886,0.3864854313802073,0.42715708641223255,0.47768208135078993,0.5282070762893474,0.5787320712279045,0.6292570661664618,0.6797820611050193,0.7303070560435766,0.7737628169199827,0.8099226766635572,0.8460825364071317,0.8822423961507062,0.9184022558942807,0.9349455340640589,0.940956468839372,0.9469674036146851,0.9529783383899982,0.9589892731653114,0.9644369955186097,0.9697408649964836,0.9750447344743574,0.9803486039522311,0.9856524734301049,0.9909563429079787,0.9951700870239183,0.9967800580159455,0.9983900290079728,1.0
9,0.0,0.008745250090935155,0.017075694644389433,0.02351827726481015,0.02924478061901451,0.03434456489362653,0.037700587585338834,0.04100804179685497,0.044315496008371105,0.04929426860564589,0.05478653083443506,0.06027879306322423,0.07165033613331477,0.09244198770900669,0.11323363928469868,0.1340252908603906,0.15481694243608257,0.18737550065898462,0.230104518871774,0.2728335370845635,0.31556255529735283,0.35829157351014235,0.4010205917229317,0.44457065035463655,0.49306614556659983,0.5415616407785631,0.590057135990526,0.6385526312024893,0.6870481264144526,0.7355436216264157,0.7759055080608674,0.8103493439382767,0.844793179815686,0.8792370156930954,0.9136808515705047,0.9329678286955636,0.9441004497381877,0.9552330707808118,0.9663656918234358,0.9774983128660598,0.9802044805635182,0.9818144515555453,0.9834244225475725,0.9850343935395995,0.9866443645316266,0.9882543355236537,0.9903388250985357,0.993559216732357,0.9967796083661785,1.0
10,0.0,0.02340569623875614,0.04681139247751228,0.07575526420511243,0.1139044148162689,0.15205356542742535,0.22284043159222522,0.2938691267242206,0.339283885347402,0.3625819461742144,0.38588000700102687,0.4091780678278393,0.43247612865465174,0.4917506952517884,0.5675311277061819,0.6433115601605751,0.7190919926149687,0.7948724250693622,0.8237777602655344,0.8447028540709077,0.865627947876281,0.8865530416816543,0.9074781354870275,0.9284032292924008,0.9493283230977742,0.9614626220264582,0.963157247019852,0.9648518720132456,0.9665464970066394,0.9682411220000331,0.9699357469934269,0.9716303719868206,0.9731763530273614,0.974155413876152,0.9751344747249425,0.976113535573733,0.9770925964225236,0.9783345199224217,0.9807071230511685,0.9830797261799153,0.9854523293086621,0.9878249324374089,0.9901975355661558,0.9925701386949025,0.9949427418236494,0.9955533695873726,0.9960507765762787,0.9965481835651848,0.9970455905540909,0.997542997542997
