Formulation Index,Drug Group,Drug,Drug SMILES,Formulation Method,DOI,Drug MW,Drug TPSA,Drug LogP,Polymer MW,LA/GA,Initial Drug-to-Polymer Ratio,Particle Size,Drug Loading Capacity,Drug Encapsulation Efficiency,Solubility Enhancer Concentration,AUC,AUC Class,Profile Duration,N Time Points,Max Observed Release,Release_24h,Release_48h,Release_72h,Fold
137,39,prilocaine,O=C(NC=1C=CC=CC1C)C(NCCC)C,O/W,10.1016/j.jddst.2015.10.009 ,220.3159999999999,41.13,2.32162,46.0,1.0,0.07164026571282575,89.0,4.6,69.3,0.0,0.6585904120421789,AUC > 0.5,19.1755018713848,35,0.917461721674038,0.1473022003745326,0.21270644095788507,0.2594131371141417,2
138,39,prilocaine,O=C(NC=1C=CC=CC1C)C(NCCC)C,O/W,10.1016/j.jddst.2015.10.009 ,220.3159999999999,41.13,2.32162,46.0,1.0,0.1022488440521227,89.0,6.5,70.6,0.0,0.65927417086262,AUC > 0.5,16.1829193603266,29,0.887553589656345,0.23526934029425803,0.3054091928251118,0.3628192067372993,2
139,39,prilocaine,O=C(NC=1C=CC=CC1C)C(NCCC)C,O/W,10.1016/j.jddst.2015.10.009 ,220.3159999999999,41.13,2.32162,46.0,1.0,0.3013919960228685,89.0,16.0,69.1,0.0,0.7632599427522978,AUC > 0.5,19.1738686628104,37,0.929149370534195,0.22790236609464465,0.3973958333333331,0.5079535996670825,2
140,39,prilocaine,O=C(NC=1C=CC=CC1C)C(NCCC)C,O/W,10.1016/j.jddst.2015.10.009 ,220.3159999999999,41.13,2.32162,46.0,1.0,0.5030762626985263,81.0,23.3,69.7,0.0,0.7568042273923967,AUC > 0.5,19.1768628785301,32,0.906008846546444,0.26249999999999984,0.47429762949956084,0.6061015831134563,2
141,39,prilocaine,O=C(NC=1C=CC=CC1C)C(NCCC)C,O/W,10.1016/j.jddst.2015.10.009 ,220.3159999999999,41.13,2.32162,46.0,1.0,0.6722621902478018,82.0,28.6,71.2,0.0,0.8817720047101963,AUC > 0.5,18.2287853011228,26,0.958465464443688,0.4471436058700218,0.7363095238095236,0.8426757812499993,2
142,39,prilocaine,O=C(NC=1C=CC=CC1C)C(NCCC)C,O/W,10.1016/j.jddst.2015.10.009 ,220.3159999999999,41.13,2.32162,46.0,1.0,1.016191210485736,82.0,34.8,69.0,0.0,0.89989053264746,AUC > 0.5,18.2619938754678,31,0.970193943518203,0.42777484143763284,0.7711406518010298,0.9167497330010675,2
143,55,risperidone,O=C1C(=C(N=C2N1CCCC2)C)CCN3CCC(C4=NOC=5C=C(F)C=CC54)CC3,O/W,10.1007/s11095-015-1731-1,410.4930000000002,64.16,3.590420000000003,28.0,3.0,0.5,5.91,19.97,59.97,0.0,0.5783339284724919,AUC > 0.5,60.0151066276132,20,0.815950920245398,0.019756194702853436,0.03994216614090439,0.07261041009463692,3
144,20,donepezil HCl,Cl.O=C1C2=CC(OC)=C(OC)C=C2CC1CC3CCN(CC=4C=CC=CC4)CC3,O/W,10.1016/j.ajps.2015.06.001 ,415.9610000000002,38.77,4.782900000000005,5.0,3.0,0.25,29.4,15.92,78.79,0.0,0.7151303848916879,AUC > 0.5,9.99491426910781,14,0.876126126126126,0.4446140785481683,0.5716107759780877,0.681202079403518,3
145,76,simvastatin,O=C1OC(CCC2C(C=CC3=CC(C)CC(OC(=O)C(C)(C)CC)C32)C)CC(O)C1,S/O/W,10.1002/jbm.a.35463 ,418.5740000000002,72.83,4.585600000000006,22.0,1.0,0.0025,217.95,0.212718204488778,85.3,0.0,0.502132561385189,AUC > 0.5,21.1344506807014,8,0.947214076246334,0.027602595740791474,0.05520519148158295,0.08365021291620428,2
146,73,tacrolimus,O=C1OC(C(=CC2CCC(O)C(OC)C2)C)C(C)C(O)CC(=O)C(C=C(C)CC(C)CC(OC)C3OC(O)(C(=O)C(=O)N4CCCCC14)C(C)CC3OC)CC=C,O/W,10.1016/j.ijpharm.2015.07.004,804.0309999999998,178.36,4.639000000000004,13.6,3.0,0.43,16.3,29.3,97.7,1.0,0.636671548339783,AUC > 0.5,13.9679633867276,5,0.967237433914621,0.032721301686818964,0.16168084788774467,0.29064039408867043,1
