fold,method,readable,n conditions,time only,train support,valid coverage,train effect,valid effect,valid effect CI low,valid effect CI high,enough coverage,same direction,CI excludes 0,validated,time window coverage,formulation effect in window,formulation CI low,formulation CI high,formulation part holds,raw rule
0,RuleFit,IF Log1p Time ≤ 1.59 AND Drug TPSA is not clearly Medium,2,False,0.2809659828615944,0.31,-0.44926994774269996,-0.3900681786757533,-0.4251605382875784,-0.1971651292823245,True,True,True,True,0.3223062381852552,-0.2481314150052476,-0.3170359415890994,-0.045277466948106894,True,Log1p Time <= 1.58989 and Drug TPSA is Medium <= 0.611644
0,RuleFit,IF Log1p Time ≤ 2.56 AND Polymer MW is not clearly Low,2,False,0.4092443521163334,0.5142,-0.32968375275989725,-0.16900265039540946,-0.259696401845599,-0.02658834783613056,True,True,True,True,0.6275992438563327,0.07597463875170496,-0.10603735979674206,0.12486822233195909,False,Log1p Time <= 2.56 and Polymer MW is Low <= 0.903467
0,RuleFit,IF Log1p Time ≤ 1.828 AND Drug TPSA is not clearly Medium,2,False,0.35133731498312126,0.3828,-0.42793208083159084,-0.35562145613575546,-0.3909402775866296,-0.15751686774081566,True,True,True,True,0.4007561436672968,-0.26744532137594135,-0.3267953773042759,-0.07170061881914223,True,Log1p Time <= 1.82761 and Drug TPSA is Medium <= 0.611644
0,RuleFit,IF Log1p Time ≤ 2.296,1,True,0.512594131394443,0.5189,-0.39269483180332665,-0.29678867398459413,-0.33909241282526387,-0.08693289826957774,True,True,True,True,,,,,False,Log1p Time <= 2.29607
0,RuleFit,IF Drug MW is not clearly Low AND Drug Encapsulation Efficiency has some High AND Log1p Time ≤ 3.221 AND Log1p Time > 1.089,4,False,0.24227473383536743,0.3563,-0.08477712353008443,-0.008178223367383275,-0.14534316929183083,0.29677766112669984,True,True,False,False,0.6257088846880907,-0.1861728880575444,-0.2555781361724682,0.20625938052704865,False,Drug MW is Low <= 0.743363 and Drug Encapsulation Efficiency is High > 0.457898 and Log1p Time <= 3.22069 and Log1p Time > 1.08916
0,RuleFit,IF Drug MW is not clearly Low AND Solubility Enhancer Concentration has some Medium AND Log1p Time ≤ 3.22 AND Log1p Time > 1.94 AND Polymer MW is not clearly Low,5,False,0.1355492079979226,0.0331,-0.07984076592221251,0.14398522578929862,,,False,False,False,False,0.43005671077504726,-0.0018761477563091766,-0.5865177712055214,0.14832383011576206,False,Drug MW is Low <= 0.788975 and Solubility Enhancer Concentration is Medium > 0.000666667 and Log1p Time <= 3.22012 and Log1p Time > 1.94046 and Polymer MW is Low <= 0.903467
0,RuleFit,IF Log1p Time > 1.082,1,True,0.7940794598805505,0.793,0.47204026890912565,0.4225187939660918,0.3046511417153935,0.45378656659960215,True,True,True,True,,,,,False,Log1p Time > 1.08233
0,RuleFit,IF Log1p Time > 1.09,1,True,0.7907037133212153,0.7921,0.4705023449450295,0.4213030422571211,0.3083217389868976,0.4559095093441923,True,True,True,True,,,,,False,Log1p Time > 1.08972
0,RuleFit,IF Log1p Time > 1.097,1,True,0.7849909114515711,0.7873,0.46776648277709276,0.4187990488434862,0.3061546689321001,0.4523003928365845,True,True,True,True,,,,,False,Log1p Time > 1.09699
0,RuleFit,IF Drug Encapsulation Efficiency is not High AND Log1p Time ≤ 3.221 AND Log1p Time > 1.089,3,False,0.3547130615424565,0.2628,0.1796083279892266,0.24876493468403643,-0.031082170434215364,0.29503715687994,True,True,False,False,0.6257088846880907,0.1870728815975211,-0.19033800395583042,0.25113977100569007,False,Drug Encapsulation Efficiency is High <= 0.457898 and Log1p Time <= 3.22069 and Log1p Time > 1.08916
