Formulation Index,Time,Release,Drug Group,Drug SMILES,Formulation Method,Drug MW,Drug TPSA,Drug LogP,Polymer MW,LA/GA,Initial Drug-to-Polymer Ratio,Particle Size,Drug Loading Capacity,Drug Encapsulation Efficiency,Solubility Enhancer Concentration,Profile Duration,Fold,Log1p Time,Normalized Time,Had Duplicate Time
1,0.0,0.0,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,0.0,0.0,False
1,1.88976377952756,0.0626223091976516,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,1.0611747615959792,0.007949125596184454,False
1,7.18110236220472,0.0567514677103717,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,2.1018269046406357,0.030206677265500893,False
1,13.9842519685039,0.0587084148727985,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,2.7069997808375557,0.05882352941176478,False
1,27.9685039370078,0.0587084148727985,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,3.3662091686461806,0.11764705882352956,False
1,48.755905511811,0.0489236790606653,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,3.9071291603148635,0.20508744038155874,False
1,62.7401574803149,0.0450097847358121,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,4.154814779653143,0.2639109697933235,False
1,69.5433070866141,0.0450097847358121,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,4.2562268061389865,0.29252782193958754,False
1,76.7244094488189,0.0469667318982387,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,4.353169357959297,0.32273449920508873,False
1,107.71653543307,0.0821917808219178,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,4.688743902457553,0.4531001589825101,False
1,143.622047244094,0.0998043052837572,8,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,237.732283464566,0,4.974123768669941,0.6041335453100163,False
