fold,knot strategy,feature,fuzzifiable,knot source,knots,valid High=1 share,valid Low=1 share
0,uniform,Initial Drug-to-Polymer Ratio,True,uniform,"[0.0005, 0.5083, 1.0162]",0.0154,0.0
0,uniform,Particle Size,True,uniform,"[1.153, 148.4265, 295.7]",0.0,0.0
0,uniform,Drug Loading Capacity,True,uniform,"[0.0222, 21.4611, 42.9]",0.0154,0.0
0,uniform,Drug Encapsulation Efficiency,True,uniform,"[1.31, 50.655, 100.0]",0.0,0.0
0,uniform,Solubility Enhancer Concentration,True,uniform,"[0.0, 15.0, 30.0]",0.0,0.8923
1,uniform,Drug MW,True,uniform,"[130.078, 809.4425, 1488.807]",0.0,0.0
1,uniform,Drug TPSA,True,uniform,"[6.48, 354.125, 701.77]",0.0,0.0
1,uniform,Drug LogP,True,uniform,"[-11.5452, -1.2158, 9.1135]",0.0,0.0
1,uniform,Polymer MW,True,uniform,"[2.3, 108.65, 215.0]",0.0,0.0
1,uniform,LA/GA,True,uniform,"[1.0, 3.335, 5.67]",0.0156,0.6406
1,uniform,Initial Drug-to-Polymer Ratio,True,uniform,"[0.0005, 0.8597, 1.7189]",0.0,0.0
1,uniform,Particle Size,True,uniform,"[1.153, 148.4265, 295.7]",0.0,0.0
1,uniform,Drug Loading Capacity,True,uniform,"[0.0222, 30.9611, 61.9]",0.0,0.0
1,uniform,Drug Encapsulation Efficiency,True,uniform,"[1.31, 50.655, 100.0]",0.0,0.0
1,uniform,Solubility Enhancer Concentration,True,uniform,"[0.0, 15.0, 30.0]",0.0,0.375
2,uniform,Drug MW,True,uniform,"[130.078, 809.4425, 1488.807]",0.0,0.0
2,uniform,Drug TPSA,True,uniform,"[17.82, 359.795, 701.77]",0.0,0.0625
2,uniform,Drug LogP,True,uniform,"[-11.5452, -1.2158, 9.1135]",0.0,0.0
2,uniform,Polymer MW,True,uniform,"[2.3, 108.65, 215.0]",0.0,0.0
2,uniform,LA/GA,True,uniform,"[1.0, 3.335, 5.67]",0.0,0.6406
2,uniform,Initial Drug-to-Polymer Ratio,True,uniform,"[0.005, 0.8619, 1.7189]",0.0,0.0781
2,uniform,Particle Size,True,uniform,"[1.153, 148.4265, 295.7]",0.0,0.0
2,uniform,Drug Loading Capacity,True,uniform,"[0.0222, 30.9611, 61.9]",0.0,0.0
2,uniform,Drug Encapsulation Efficiency,True,uniform,"[1.31, 50.655, 100.0]",0.0,0.0
2,uniform,Solubility Enhancer Concentration,True,uniform,"[0.0, 15.0, 30.0]",0.0,0.7031
3,uniform,Drug MW,True,uniform,"[194.154, 821.7125, 1449.271]",0.0156,0.1094
3,uniform,Drug TPSA,True,uniform,"[6.48, 268.485, 530.49]",0.1094,0.0
3,uniform,Drug LogP,True,uniform,"[-2.6867, 2.0878, 6.8623]",0.0469,0.1094
3,uniform,Polymer MW,True,uniform,"[5.0, 110.0, 215.0]",0.0,0.0312
3,uniform,LA/GA,True,uniform,"[1.0, 3.335, 5.67]",0.0,0.7188
3,uniform,Initial Drug-to-Polymer Ratio,True,uniform,"[0.0005, 0.8597, 1.7189]",0.0,0.0
3,uniform,Particle Size,True,uniform,"[1.153, 148.4265, 295.7]",0.0,0.0
