Formulation Index,held-out RMSE
42,0.04594441736451243
177,0.04617468630774301
215,0.04924824284642904
149,0.05625221534031473
98,0.05704729825111453
270,0.061606884750925156
99,0.06302203989972692
292,0.06514969290242476
204,0.0652968320131698
214,0.06566647532090307
208,0.06841576578175464
21,0.06919453197525598
268,0.06993898729664628
291,0.07385022374996471
218,0.07426323384477199
62,0.0768157359300439
175,0.0769685747938314
171,0.07764345185859643
107,0.07782237067703215
217,0.07878207903020616
278,0.07997868469263354
317,0.0810201090821276
127,0.08103507077447966
321,0.08114347994777726
269,0.08164154420004006
110,0.08174388455094242
37,0.0817887470618298
75,0.08237437877360658
225,0.08351145195334385
213,0.08446311464935914
89,0.08612240631565438
176,0.08826457164046335
90,0.08906180716650881
140,0.09084104904637824
295,0.09137886041629213
293,0.0922205863264399
198,0.09238896905299661
95,0.09246621609048003
207,0.09276956626696714
272,0.09385751810181182
123,0.09433908610364614
137,0.09489373822979855
111,0.09539498627866788
80,0.09562681732617768
43,0.09702583384323535
312,0.09738314409906612
26,0.09761385387212271
97,0.09833357527190667
189,0.09859037675430375
276,0.09944461803507527
200,0.09965028796286271
101,0.10109599578582106
223,0.10182568357456934
139,0.1024258268656742
138,0.10266359351168876
210,0.10273030269503985
211,0.10386631051873302
76,0.10415958975805328
219,0.10441948060555442
78,0.10485245000355799
170,0.1056572497484151
251,0.10567639945806108
186,0.10624892997084495
93,0.10630478480842899
180,0.10732152642456391
185,0.10976092786217834
23,0.11203841849461803
84,0.11286063553837514
16,0.11367371163617648
250,0.11397965570782412
25,0.1140625693633241
212,0.11599978836397953
256,0.12147440615174167
307,0.12185624517893753
22,0.12435520788781453
275,0.1250338485082318
188,0.125283250489897
36,0.1258621582402312
73,0.12697653322232544
87,0.12721960074024327
300,0.12732478740355707
52,0.12986383481298003
274,0.13146412119708437
150,0.13236910535816118
61,0.13256172106171296
279,0.1326508539172666
298,0.13277846452274483
280,0.1327981843810111
226,0.13367627261564208
178,0.13463639691971227
77,0.13468131059719837
65,0.1355126664231128
134,0.13667652164207095
172,0.13687311161945184
51,0.13811969904749286
66,0.1385212771741188
82,0.13873050886187013
320,0.13916225108926328
94,0.13921387539596797
79,0.13928469529797324
273,0.1407228818127515
203,0.14198105782532025
112,0.14271278890263336
181,0.14306921791062266
267,0.1442500205766124
143,0.14654383100651378
151,0.14691417448608154
35,0.14700894785246368
67,0.14744904681092824
306,0.1475072874711807
6,0.1477382151432638
58,0.14860929140434107
266,0.14880951599625233
281,0.14908262002324682
24,0.14936375394489643
282,0.14972218392750605
148,0.15023357746551333
260,0.15104918059956593
319,0.15192326142339577
129,0.15406337831379247
126,0.15549023820100208
133,0.1558887641425873
294,0.1562833262804404
285,0.1566726505253721
118,0.1574431003009021
168,0.15763723334364543
91,0.16117470062059563
48,0.16165242135358288
277,0.16166305508575007
136,0.16308937212544952
227,0.16359488852279527
68,0.16386107832661764
205,0.16428790454377912
209,0.16627817198264677
201,0.16714233235457046
2,0.16914408699803793
7,0.16935840587135753
85,0.16985406881037096
261,0.1700873595101964
96,0.17072191564051303
316,0.17155572987249068
314,0.17241312702840889
14,0.17431661062013645
86,0.17438992234554812
284,0.17686495890822457
252,0.18077264876090124
152,0.1823136431934378
41,0.18407187949537693
105,0.18441442355678808
302,0.1861698984989199
199,0.18671314679512097
53,0.18681021714595172
258,0.18735499287967372
81,0.18739644877796008
131,0.18892098361533155
38,0.1892562637312936
286,0.19069210795006775
64,0.19213803340183797
121,0.19323330939427896
103,0.19568620604271128
15,0.19619243916314713
153,0.1963784767763315
174,0.19651015832427512
44,0.19654876519394657
183,0.1966442836393559
206,0.1972286865204522
297,0.19837927143761155
102,0.19866596928246424
115,0.19928879445091396
263,0.19980559712780072
8,0.20107241614850332
63,0.20147713044933707
230,0.20165482757584977
100,0.20257873173783544
296,0.20497428716465213
315,0.2057355896532875
195,0.2059114122437855
20,0.20624104977847876
56,0.20811502612343738
72,0.20848801472949133
3,0.20950505613410528
235,0.20961527069632183
179,0.20990663115464187
241,0.20990816908470514
92,0.21024334360756927
5,0.21046611915573948
257,0.21070380470962444
4,0.21085728251689384
69,0.21086582694886752
9,0.2118541499993972
88,0.21196062954224043
288,0.21302755193820044
318,0.21304780353554947
287,0.2130947999378454
240,0.21322364162968657
255,0.21477182080890317
157,0.2149133844383085
104,0.21510069932613834
147,0.21595835273893402
54,0.21648906592905537
116,0.21703993646368241
173,0.21714177568152554
46,0.21831663163846401
28,0.2199297549887735
83,0.22113570067989569
120,0.22194056194825798
12,0.2225857732511099
141,0.22484338501071394
124,0.22496011178698372
70,0.22603350478591255
17,0.22687449411546856
130,0.2326450967704087
142,0.23274472644887986
236,0.23497961653846683
146,0.23515267830064707
249,0.23616349774701012
71,0.23638627696964412
310,0.23689991730682838
40,0.23803568297126376
34,0.23918584484092942
122,0.23957969428938172
265,0.23992602036706565
125,0.24095730370937807
216,0.24129367015438855
233,0.24196022201744816
289,0.24244994719070592
132,0.24362715284965525
119,0.24461589021102836
10,0.24501306650740134
113,0.24752437713685782
238,0.2488746055502378
135,0.24908065365265533
74,0.24919216086466556
303,0.25102981844201966
239,0.253699839020915
30,0.25404133175593885
232,0.2543526963562929
187,0.25508599980171565
228,0.2554711278673531
60,0.25581310058023227
