representation,accuracy,precision,recall,F1,AUROC
crisp,0.6412 ± 0.0970,0.8028 ± 0.0705,0.6741 ± 0.1586,0.7245 ± 0.1000,0.5842 ± 0.1724
fuzzy (quantile),0.6102 ± 0.0820,0.7759 ± 0.0859,0.6526 ± 0.1666,0.6996 ± 0.1119,0.5523 ± 0.1643
fuzzy (uniform),0.6163 ± 0.1179,0.7979 ± 0.0782,0.6450 ± 0.1699,0.7019 ± 0.1126,0.5868 ± 0.1712
hybrid (quantile),0.6382 ± 0.0858,0.8124 ± 0.0809,0.6579 ± 0.1673,0.7155 ± 0.1089,0.5851 ± 0.1323
hybrid (uniform),0.6100 ± 0.1090,0.7964 ± 0.0846,0.6287 ± 0.1662,0.6921 ± 0.1158,0.5735 ± 0.1582
